City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
603,Galesong,ID,82.42,broken clouds,-5.3166,119.3661,Sapriadi Appy
604,Alepe,CI,75.07,moderate rain,5.5004,-3.6631,BENENE 1
607,Havelock,US,80.94,clear sky,34.8791,-76.9013,Sherwood Motel
610,Hostotipaquillo,MX,72.05,overcast clouds,21.0667,-104.0667,Hostal DE MINGO
614,Venado,MX,73.81,overcast clouds,22.9333,-101.0833,Arnecom
617,Reisterstown,US,81.21,overcast clouds,39.4696,-76.8294,"Holiday Inn Express & Suites Owings Mills-Baltimore Area, an IHG Hotel"
620,Itarema,BR,79.38,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
622,Pontianak,ID,80.58,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
623,Canico,PT,74.71,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
624,Santa Rosa,PH,88.09,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
628,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
632,Esmeraldas,BR,85.06,few clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
635,Sao Miguel Do Araguaia,BR,86.59,clear sky,-13.275,-50.1628,Hotel Executivo Palace
640,Jesup,US,78.73,clear sky,31.6074,-81.8854,Western Motel
641,Cedar City,US,83.37,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
645,Chapada Dos Guimaraes,BR,74.86,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
646,Rapid Valley,US,86.2,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
648,Neiafu,TO,83.08,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
649,Gazanjyk,TM,74.17,clear sky,39.2446,55.5154,Railway motel
652,Kahului,US,83.97,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
653,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
660,Manggar,ID,83.05,overcast clouds,-2.8833,108.2667,Guest Hotel
