City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Great Yarmouth,GB,52.6083,1.7305,55.94,88,0,6.55,clear sky
284,Valleyview,CA,55.0667,-117.2859,41.99,86,100,18.19,overcast clouds
285,Agdas,AZ,40.65,47.4761,68.27,73,0,2.42,clear sky
286,Buenos Aires,AR,-34.6132,-58.3772,60.91,54,0,5.75,clear sky
287,Peterhead,GB,57.5058,-1.7981,56.1,93,100,6.58,overcast clouds
288,Roald,NO,62.5833,6.1333,56.16,93,20,4.61,few clouds
289,Bunawan,PH,8.1667,126.0833,83.68,67,52,1.14,broken clouds
290,Hambantota,LK,6.1241,81.1185,79.14,100,20,6.91,few clouds
291,Praia,CV,14.9215,-23.5087,81.14,83,40,10.36,scattered clouds
292,Port Lincoln,AU,-34.7333,135.8667,62.33,63,0,18.68,clear sky
293,Miajadas,ES,39.1513,-5.9084,65.77,78,9,1.7,clear sky
294,Hervey Bay,AU,-25.2986,152.8535,69.91,57,0,2.55,clear sky
295,Port Hardy,CA,50.6996,-127.4199,59.18,63,20,13.8,few clouds
296,Scarborough,GB,54.2797,-0.4044,58.51,89,24,5.17,few clouds
297,Vila Velha,BR,-20.3297,-40.2925,75.15,83,40,8.05,scattered clouds
298,Ugoofaaru,MV,5.6667,73.0,82.24,76,100,14.92,overcast clouds
299,Sangre Grande,TT,10.5835,-61.1177,82.36,89,9,7.61,clear sky
300,Langham,CA,52.3668,-106.9679,58.84,27,94,10.54,overcast clouds
301,Pangoa,PE,-12.1167,-73.0,68.18,97,47,3.62,scattered clouds
302,Rundu,NA,-17.9333,19.7667,67.08,18,0,4.27,clear sky
303,Yarovoye,RU,52.9273,78.58,59.25,35,100,7.29,overcast clouds
304,Vanimo,PG,-2.6741,141.3028,81.07,79,96,5.08,light rain
305,Cayenne,GF,4.9333,-52.3333,83.08,79,0,1.99,clear sky
306,Ambilobe,MG,-13.2,49.05,67.05,79,39,3.94,scattered clouds
307,Fort Carson,US,38.7375,-104.7889,85.42,34,1,14.97,clear sky
308,Caibarien,CU,22.5206,-79.4669,78.98,80,13,3.87,light rain
309,Muleba,TZ,-1.8397,31.6544,69.13,69,100,4.16,overcast clouds
310,Xuddur,SO,4.1213,43.8894,72.61,82,63,16.33,broken clouds
311,Yuxia,CN,34.0615,108.6291,68.61,91,100,3.67,overcast clouds
312,Fuerte Olimpo,PY,-21.0415,-57.8738,67.33,69,67,9.93,broken clouds
313,Teahupoo,PF,-17.8333,-149.2667,78.76,77,14,15.82,light rain
314,Zyryanka,RU,65.75,150.85,48.78,64,43,4.18,scattered clouds
315,Formosa Do Rio Preto,BR,-11.0483,-45.1931,78.69,23,0,2.86,clear sky
316,Lakitelek,HU,46.876,19.995,66.04,67,0,4.61,clear sky
317,Chimbote,PE,-9.0853,-78.5783,61.68,84,53,11.39,broken clouds
318,La Ronge,CA,55.1001,-105.2842,59.22,33,20,9.22,few clouds
319,Arlit,NE,18.7369,7.3853,92.5,16,0,8.3,clear sky
320,Zhigansk,RU,66.7697,123.3711,44.65,64,97,6.29,overcast clouds
321,Bismarck,US,46.8083,-100.7837,82.24,35,1,8.05,clear sky
322,Talnakh,RU,69.4865,88.3972,37.62,98,100,9.1,light rain
323,Port Hedland,AU,-20.3167,118.5667,77.05,38,3,10.36,clear sky
324,Namatanai,PG,-3.6667,152.4333,83.19,71,96,9.4,light rain
325,Nakamura,JP,32.9833,132.9333,78.87,71,74,8.19,broken clouds
